Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
52        ,mp-1029330,Hf2SeN2   ,     160.0,     159.0,80.0      ,0.28      ,2.08      ,90.48556666666667,     13.18,         0
53        ,mp-1029334,Zn2SbN3   ,     132.0,     132.0,63.0      ,0.29      ,1.42      ,67.05856666666666,    10.796,0.0035206096033331136
54        ,mp-1029337,Zr2SeN2   ,     148.0,     147.0,73.0      ,0.28      ,2.06      ,61.396899999999995,    12.058,0.014037639999997964
55        ,mp-1029338,LiV2N3    ,     150.0,     146.0,56.0      ,0.29      ,1.71      ,23.963066666666666,    12.582,         0
56        ,mp-1029349,Y4Se3N2   ,      71.0,      67.0,35.0      ,0.27      ,2.12      ,60.62418333333333,     5.728,         0
57        ,mp-1029359,CaHfN2    ,     171.0,     170.0,130.0     ,0.19      ,2.08      ,   77.5249,    19.645,         0
58        ,mp-1029368,Mg2VN3    ,     132.0,     123.0,51.0      ,0.31      ,1.71      ,29.751066666666663,    10.105,         0
59        ,mp-1029374,BaTiN2    ,     146.0,     144.0,88.0      ,0.24      ,2.53      ,66.40023333333333,    13.432,0.3394790333333324
60        ,mp-1029395,LiCrN2    ,      86.0,      84.0,46.0      ,0.26      ,1.67      ,   24.3146,     7.017,0.019616299416669314
61        ,mp-1029396,SrHfN2    ,     116.0,     116.0,38.0      ,0.33      ,2.19      ,93.37223333333334,      9.21,         0
62        ,mp-1029407,NaCrN2    ,      76.0,      76.0,34.0      ,0.29      ,1.9       ,29.66418976,     5.401,         0
63        ,mp-1029408,Mg2NbN3   ,     123.0,     115.0,46.0      ,0.32      ,1.98      ,  43.73936,     9.204,0.03355510333333367
64        ,mp-1029422,NbZn2N3   ,     139.0,     139.0,53.0      ,0.33      ,1.98      ,57.440693333333336,     9.989,         0
65        ,mp-1029442,Mg2TaN3   ,     125.0,     120.0,51.0      ,0.31      ,2.0       ,73.08652666666667,     9.743,         0
66        ,mp-1029448,Li5OsN4   ,      70.0,      69.0,37.0      ,0.27      ,1.85      ,70.39256666666667,      5.46,         0
67        ,mp-1029458,Zn2CrN3   ,     152.0,     152.0,59.0      ,0.33      ,1.66      ,43.80393333333333,    10.845,         0
68        ,mp-1029469,ZnSnN2    ,     133.0,     133.0,64.0      ,0.29      ,1.45      ,   66.0419,    10.806,         0
69        ,mp-1029498,Li6CrN4   ,      86.0,      85.0,72.0      ,0.17      ,1.67      ,   24.3146,    11.311,         0
70        ,mp-1029502,Ba(NbN2)2 ,      31.0,      31.0,28.0      ,0.15      ,2.53      ,  81.41336,     4.151,         0
71        ,mp-1029520,Mg2CrN3   ,     134.0,     112.0,42.0      ,0.33      ,1.66      ,30.102599999999995,    10.562,         0
72        ,mp-1029531,Sr3ReN3   ,      59.0,      59.0,28.0      ,0.29      ,2.19      ,95.94456666666667,     3.932,         0
73        ,mp-1029536,MgZrN2    ,     151.0,     148.0,57.0      ,0.3       ,2.06      ,43.17856666666666,    12.324,0.02816529875000029
